nbhd_id,chittagong,comilla_south,comilla_north,naryanganj_east,narsingdi,dhamrai,bhaluka,gazipur_north,main,x_1,x_2,x_3,x_4,x_5,x_6,y_1,y_2,y_3,y_4,y_5,y_6,cent_long,cent_lat,strata_main,ineligible,main_sample,backup
28,1,0,0,0,0,0,0,0,0,91.830177,91.82048,91.815681,91.820572,91.830276,91.835075,22.342333,22.342384,22.35022,22.358006,22.357954,22.350117,91.825378,22.350168,-997,0,0,
29,1,0,0,0,0,0,0,0,0,91.844772,91.835075,91.830276,91.835175,91.844872,91.84967,22.350065,22.350117,22.357954,22.365738,22.365685,22.357849,91.839973,22.357901,-997,0,0,
30,1,0,0,0,0,0,0,0,0,91.859268,91.849571,91.844772,91.84967,91.859367,91.864166,22.342175,22.342228,22.350065,22.357849,22.357796,22.349958,91.854469,22.350012,-997,0,0,
31,1,0,0,0,0,0,0,0,0,91.888359,91.878662,91.873863,91.878761,91.888458,91.893257,22.34201,22.342066,22.349903,22.357687,22.357632,22.349794,91.88356,22.34985,-997,0,0,
32,1,0,0,0,0,0,0,0,0,91.772087,91.76239,91.757584,91.762474,91.772179,91.776978,22.358253,22.358301,22.366137,22.373922,22.373875,22.366039,91.767281,22.366089,-997,0,0,
33,1,0,0,0,0,0,0,0,0,91.786682,91.776978,91.772179,91.777069,91.786774,91.791573,22.365992,22.366039,22.373875,22.381662,22.381613,22.373777,91.781876,22.373827,-997,0,0,
34,1,0,0,0,0,0,0,0,0,91.801178,91.791481,91.786682,91.791573,91.80127,91.806076,22.358107,22.358156,22.365992,22.373777,22.373728,22.365892,91.796379,22.365942,-997,0,0,4
35,1,0,0,0,0,0,0,0,0,91.815773,91.806076,91.80127,91.806168,91.815872,91.820671,22.365841,22.365892,22.373728,22.381514,22.381462,22.373627,91.810974,22.373678,-997,0,0,
36,1,0,0,0,0,0,0,0,0,91.830276,91.820572,91.815773,91.820671,91.830368,91.835175,22.357954,22.358006,22.365841,22.373627,22.373575,22.365738,91.82547,22.365789,-997,0,0,
37,1,0,0,0,0,0,0,0,0,91.844872,91.835175,91.830368,91.835266,91.844971,91.84977,22.365685,22.365738,22.373575,22.381359,22.381306,22.373468,91.840073,22.373522,-997,0,0,10
38,1,0,0,0,0,0,0,0,0,91.859367,91.84967,91.844872,91.84977,91.859467,91.864265,22.357796,22.357849,22.365685,22.373468,22.373417,22.36558,91.854568,22.365633,-997,0,0,
39,1,0,0,0,0,0,0,0,0,91.873962,91.864265,91.859467,91.864365,91.874069,91.878868,22.365524,22.36558,22.373417,22.381199,22.381145,22.373308,91.869164,22.373363,-997,0,0,
40,1,0,0,0,0,0,0,0,0,91.903061,91.893364,91.888565,91.893463,91.903168,91.907967,22.365358,22.365414,22.373253,22.381035,22.38098,22.37314,91.898262,22.373198,-997,0,0,
41,1,0,0,0,0,0,0,0,0,91.772179,91.762474,91.757675,91.762566,91.77227,91.777069,22.373875,22.373922,22.381758,22.389545,22.389496,22.381662,91.767372,22.38171,-997,0,0,
42,1,0,0,0,0,0,0,0,0,91.786774,91.777069,91.77227,91.777161,91.786865,91.791664,22.381613,22.381662,22.389496,22.397284,22.397234,22.389399,91.781967,22.389448,-997,0,0,7
43,1,0,0,0,0,0,0,0,0,91.80127,91.791573,91.786774,91.791664,91.801369,91.806168,22.373728,22.373777,22.381613,22.389399,22.389349,22.381514,91.796471,22.381563,-997,0,0,
44,1,0,0,0,0,0,0,0,0,91.815872,91.806168,91.801369,91.806267,91.815964,91.82077,22.381462,22.381514,22.389349,22.397133,22.397083,22.389246,91.811066,22.389297,-997,0,0,
45,1,0,0,0,0,0,0,0,0,91.830368,91.820671,91.815872,91.82077,91.830467,91.835266,22.373575,22.373627,22.381462,22.389246,22.389194,22.381359,91.825569,22.381411,-997,0,0,
46,1,0,0,0,0,0,0,0,0,91.844971,91.835266,91.830467,91.835365,91.84507,91.849869,22.381306,22.381359,22.389194,22.39698,22.396927,22.38909,91.840164,22.389143,-997,0,0,
47,1,0,0,0,0,0,0,0,0,91.859467,91.84977,91.844971,91.849869,91.859566,91.864365,22.373417,22.373468,22.381306,22.38909,22.389036,22.381199,91.854668,22.381254,-997,0,0,5
48,1,0,0,0,0,0,0,0,0,91.874069,91.864365,91.859566,91.864471,91.874168,91.878967,22.381145,22.381199,22.389036,22.39682,22.396767,22.388929,91.86927,22.388983,-997,0,0,
49,1,0,0,0,0,0,0,0,0,91.903168,91.893463,91.888672,91.89357,91.903275,91.908066,22.38098,22.381035,22.388874,22.396656,22.396601,22.388762,91.898369,22.388819,-997,0,0,
50,1,0,0,0,0,0,0,0,0,91.786865,91.777161,91.772354,91.777252,91.786957,91.791763,22.397234,22.397284,22.405117,22.412905,22.412855,22.40502,91.782059,22.405069,-997,0,0,
51,1,0,0,0,0,0,0,0,0,91.801369,91.791664,91.786865,91.791763,91.80146,91.806267,22.389349,22.389399,22.397234,22.40502,22.40497,22.397133,91.796562,22.397184,-997,0,0,
52,1,0,0,0,0,0,0,0,0,91.815964,91.806267,91.80146,91.806358,91.816063,91.820862,22.397083,22.397133,22.40497,22.412754,22.412704,22.404867,91.811165,22.404919,-997,0,0,
53,1,0,0,0,0,0,0,0,0,91.830467,91.82077,91.815964,91.820862,91.830566,91.835365,22.389194,22.389246,22.397083,22.404867,22.404816,22.39698,91.825668,22.397032,-997,0,0,
54,1,0,0,0,0,0,0,0,0,91.84507,91.835365,91.830566,91.835464,91.845169,91.849968,22.396927,22.39698,22.404816,22.412601,22.412548,22.404711,91.840263,22.404764,-997,0,0,
55,1,0,0,0,0,0,0,0,0,91.859566,91.849869,91.84507,91.849968,91.859665,91.864471,22.389036,22.38909,22.396927,22.404711,22.404657,22.39682,91.854767,22.396875,-997,0,0,3
56,1,0,0,0,0,0,0,0,0,91.874168,91.864471,91.859665,91.864571,91.874275,91.879074,22.396767,22.39682,22.404657,22.412441,22.412388,22.404549,91.86937,22.404604,-997,0,0,
57,1,0,0,0,0,0,0,0,0,91.80146,91.791763,91.786957,91.791855,91.801552,91.806358,22.40497,22.40502,22.412855,22.420641,22.420591,22.412754,91.796654,22.412806,-997,0,0,2
58,1,0,0,0,0,0,0,0,0,91.816063,91.806358,91.801552,91.806458,91.816154,91.820961,22.412704,22.412754,22.420591,22.428375,22.428326,22.420488,91.811256,22.42054,-997,0,0,
59,1,0,0,0,0,0,0,0,0,91.830566,91.820862,91.816063,91.820961,91.830666,91.835464,22.404816,22.404867,22.412704,22.420488,22.420437,22.412601,91.82576,22.412653,-997,0,0,
60,1,0,0,0,0,0,0,0,0,91.845169,91.835464,91.830666,91.835564,91.845268,91.850067,22.412548,22.412601,22.420437,22.428221,22.428169,22.420332,91.840363,22.420385,-997,0,0,
61,1,0,0,0,0,0,0,0,0,91.859665,91.849968,91.845169,91.850067,91.859772,91.864571,22.404657,22.404711,22.412548,22.420332,22.420279,22.412441,91.854866,22.412495,-997,0,0,6
62,1,0,0,0,0,0,0,0,0,91.874275,91.864571,91.859772,91.86467,91.874374,91.879173,22.412388,22.412441,22.420279,22.428062,22.428007,22.42017,91.869469,22.420225,-997,0,0,
63,1,0,0,0,0,0,0,0,0,91.888771,91.879074,91.874275,91.879173,91.888878,91.893677,22.404493,22.404549,22.412388,22.42017,22.420115,22.412277,91.883972,22.412333,-997,0,0,
64,1,0,0,0,0,0,0,0,0,91.859772,91.850067,91.845268,91.850166,91.859871,91.86467,22.420279,22.420332,22.428169,22.435953,22.4359,22.428062,91.854965,22.428116,-997,0,0,
65,1,0,0,0,0,0,0,0,0,91.888878,91.879173,91.874374,91.87928,91.888977,91.893776,22.420115,22.42017,22.428007,22.435791,22.435736,22.427896,91.884079,22.427954,-997,0,0,
607,0,0,0,0,0,0,0,1,0,90.353508,90.343689,90.338737,90.343613,90.353432,90.358383,24.053986,24.053946,24.061735,24.069565,24.069605,24.061813,90.348557,24.061775,-996,0,0,
608,0,0,0,0,0,0,0,1,0,90.382973,90.373146,90.368202,90.373077,90.382896,90.387848,24.054098,24.054062,24.061852,24.069679,24.069717,24.061926,90.378021,24.06189,-996,0,0,
614,0,0,0,0,0,0,0,1,0,90.338737,90.328918,90.323967,90.328842,90.338661,90.343613,24.061735,24.061695,24.069485,24.077314,24.077354,24.069565,90.333794,24.069527,-996,0,0,
615,0,0,0,0,0,0,0,1,0,90.353432,90.343613,90.338661,90.343536,90.353363,90.358307,24.069605,24.069565,24.077354,24.085184,24.085222,24.077433,90.348488,24.077394,-996,0,0,
616,0,0,0,0,0,0,0,1,0,90.368202,90.358383,90.353432,90.358307,90.368134,90.373077,24.061852,24.061813,24.069605,24.077433,24.077471,24.069679,90.363258,24.069643,-996,0,0,
617,0,0,0,0,0,0,0,1,0,90.382896,90.373077,90.368134,90.373009,90.382828,90.387779,24.069717,24.069679,24.077471,24.085299,24.085337,24.077545,90.377953,24.077509,-996,0,0,
619,0,0,0,0,0,0,0,1,0,90.323891,90.314072,90.30912,90.313988,90.323814,90.328766,24.085104,24.085062,24.092852,24.100681,24.100721,24.092934,90.318939,24.092894,-996,0,0,
620,0,0,0,0,0,0,0,1,0,90.353363,90.343536,90.338585,90.34346,90.353287,90.358238,24.085222,24.085184,24.092974,24.100801,24.100842,24.093052,90.348412,24.093014,-996,0,0,2
621,0,0,0,0,0,0,0,1,0,90.368134,90.358307,90.353363,90.358238,90.368057,90.373009,24.077471,24.077433,24.085222,24.093052,24.09309,24.085299,90.363182,24.085262,-996,0,0,
622,0,0,0,0,0,0,0,1,0,90.382828,90.373009,90.368057,90.372932,90.382759,90.387703,24.085337,24.085299,24.09309,24.100918,24.100954,24.093164,90.377884,24.093126,-996,0,0,1
623,0,0,0,0,0,0,0,1,0,90.323814,90.313988,90.309036,90.313911,90.323738,90.32869,24.100721,24.100681,24.108469,24.116299,24.116341,24.108551,90.318863,24.108511,-996,0,0,
624,0,0,0,0,0,0,0,1,0,90.353287,90.34346,90.338516,90.343391,90.35321,90.358162,24.100842,24.100801,24.108591,24.116421,24.116459,24.108669,90.348335,24.108631,-996,0,0,
625,0,0,0,0,0,0,0,1,0,90.368057,90.358238,90.353287,90.358162,90.367989,90.372932,24.09309,24.093052,24.100842,24.108669,24.108707,24.100918,90.363113,24.10088,-996,0,0,
626,0,0,0,0,0,0,0,1,0,90.382759,90.372932,90.367989,90.372864,90.38269,90.387634,24.100954,24.100918,24.108707,24.116535,24.116573,24.108782,90.377815,24.108746,-996,0,0,
627,0,0,0,0,0,0,0,1,0,90.39753,90.387703,90.382759,90.387634,90.397461,90.402405,24.093201,24.093164,24.100954,24.108782,24.108818,24.101027,90.392586,24.100992,-996,0,0,
628,0,0,0,0,0,0,0,1,0,90.412231,90.402405,90.397461,90.402344,90.412163,90.417114,24.101063,24.101027,24.108818,24.116646,24.11668,24.108889,90.407288,24.108854,-996,0,0,
629,0,0,0,0,0,0,0,1,0,90.427002,90.417175,90.412231,90.417114,90.426933,90.431877,24.093306,24.093271,24.101063,24.108889,24.108923,24.101131,90.422058,24.101097,-996,0,0,
630,0,0,0,0,0,0,0,1,0,90.338516,90.32869,90.323738,90.328613,90.33844,90.343391,24.108591,24.108551,24.116341,24.12417,24.12421,24.116421,90.333565,24.116381,-996,0,0,
631,0,0,0,0,0,0,0,1,0,90.35321,90.343391,90.33844,90.343315,90.353142,90.358093,24.116459,24.116421,24.12421,24.132038,24.132078,24.124289,90.348267,24.12425,-996,0,0,
632,0,0,0,0,0,0,0,1,0,90.367989,90.358162,90.35321,90.358093,90.367912,90.372864,24.108707,24.108669,24.116459,24.124289,24.124327,24.116535,90.363037,24.116499,-996,0,0,
633,0,0,0,0,0,0,0,1,0,90.38269,90.372864,90.367912,90.372795,90.382622,90.387566,24.116573,24.116535,24.124327,24.132154,24.132193,24.124401,90.377739,24.124365,-996,0,0,
634,0,0,0,0,0,0,0,1,0,90.397461,90.387634,90.38269,90.387566,90.397392,90.402344,24.108818,24.108782,24.116573,24.124401,24.124437,24.116646,90.392517,24.11661,-996,0,0,
635,0,0,0,0,0,0,0,1,0,90.412163,90.402344,90.397392,90.402275,90.412102,90.417046,24.11668,24.116646,24.124437,24.132265,24.132299,24.124508,90.407219,24.124474,-996,0,0,
636,0,0,0,0,0,0,0,1,0,90.426933,90.417114,90.412163,90.417046,90.426872,90.431816,24.108923,24.108889,24.11668,24.124508,24.124542,24.116751,90.421989,24.116716,-996,0,0,
637,0,0,0,0,0,0,0,1,0,90.441643,90.431816,90.426872,90.431755,90.441582,90.446526,24.116783,24.116751,24.124542,24.132368,24.132402,24.124609,90.436699,24.124577,-996,0,0,5
638,0,0,0,0,0,0,0,1,0,90.353142,90.343315,90.338364,90.343239,90.353065,90.358017,24.132078,24.132038,24.139828,24.147657,24.147696,24.139906,90.34819,24.139868,-996,0,0,
639,0,0,0,0,0,0,0,1,0,90.367912,90.358093,90.353142,90.358017,90.367844,90.372795,24.124327,24.124289,24.132078,24.139906,24.139944,24.132154,90.362968,24.132116,-996,0,0,
640,0,0,0,0,0,0,0,1,0,90.382622,90.372795,90.367844,90.372719,90.382553,90.387497,24.132193,24.132154,24.139944,24.147774,24.14781,24.140018,90.37767,24.139982,-996,0,0,
641,0,0,0,0,0,0,0,1,0,90.397392,90.387566,90.382622,90.387497,90.397324,90.402275,24.124437,24.124401,24.132193,24.140018,24.140055,24.132265,90.392448,24.132229,-996,0,0,
642,0,0,0,0,0,0,0,1,0,90.412102,90.402275,90.397324,90.402206,90.412033,90.416977,24.132299,24.132265,24.140055,24.147882,24.147919,24.140127,90.40715,24.140091,-996,0,0,
643,0,0,0,0,0,0,0,1,0,90.426872,90.417046,90.412102,90.416977,90.426804,90.431755,24.124542,24.124508,24.132299,24.140127,24.140162,24.132368,90.421928,24.132336,-996,0,0,
644,0,0,0,0,0,0,0,1,0,90.441582,90.431755,90.426804,90.431686,90.441513,90.446465,24.132402,24.132368,24.140162,24.147987,24.14802,24.140228,90.43663,24.140196,-996,0,0,
645,0,0,0,0,0,0,0,1,0,90.456352,90.446526,90.441582,90.446465,90.456291,90.461235,24.124641,24.124609,24.132402,24.140228,24.140261,24.132467,90.451408,24.132435,-996,0,0,
646,0,0,0,0,0,0,0,1,0,90.367844,90.358017,90.353065,90.357941,90.367775,90.372719,24.139944,24.139906,24.147696,24.155525,24.155563,24.147774,90.362892,24.147736,-996,0,0,
647,0,0,0,0,0,0,0,1,0,90.382553,90.372719,90.367775,90.37265,90.382477,90.387428,24.14781,24.147774,24.155563,24.163391,24.163429,24.155638,90.377602,24.155602,-996,0,0,
648,0,0,0,0,0,0,0,1,0,90.397324,90.387497,90.382553,90.387428,90.397255,90.402206,24.140055,24.140018,24.14781,24.155638,24.155674,24.147882,90.39238,24.147848,-996,0,0,
649,0,0,0,0,0,0,0,1,0,90.412033,90.402206,90.397255,90.402138,90.411964,90.416916,24.147919,24.147882,24.155674,24.163502,24.163536,24.155745,90.407082,24.15571,-996,0,0,
650,0,0,0,0,0,0,0,1,0,90.426804,90.416977,90.412033,90.416916,90.426743,90.431686,24.140162,24.140127,24.147919,24.155745,24.155779,24.147987,90.42186,24.147953,-996,0,0,
